customer_id,first_name,last_name,email,city,state,signup_date
1,Noah,Lopez,noah.lopez1@example.com,Dallas,TX,2024-10-29
2,Liam,White,liam.white2@example.com,Denver,CO,2023-08-19
3,Ella,Young,ella.young3@example.com,Dallas,TX,2023-05-14
4,Isiah,Martin,isiah.martin4@example.com,Austin,TX,2025-02-01
5,Elijah,Escalera,elijah.escalera5@example.com,Atlanta,GA,2023-05-10
6,Grace,Perez,grace.perez6@example.com,Albuquerque,NM,2023-10-10
7,Sofia,Johnson,sofia.johnson7@example.com,San Diego,CA,2024-04-06
8,Camila,Thomas,camila.thomas8@example.com,Denver,CO,2025-03-23
9,Noah,Wilson,noah.wilson9@example.com,Tucson,AZ,2024-05-13
10,David,Martin,david.martin10@example.com,Atlanta,GA,2024-11-17
11,Mia,Thomas,mia.thomas11@example.com,Seattle,WA,2024-11-01
12,Maria,Wilson,maria.wilson12@example.com,San Diego,CA,2024-12-08
13,Mason,Martin,mason.martin13@example.com,Denver,CO,2024-03-26
14,Grace,Young,grace.young14@example.com,Miami,FL,2024-07-02
15,Emma,Lopez,emma.lopez15@example.com,Austin,TX,2023-07-03
16,Amelia,Wilson,amelia.wilson16@example.com,San Diego,CA,2024-01-16
17,Mason,Hernandez,mason.hernandez17@example.com,San Diego,CA,2024-02-10
18,Sofia,Lee,sofia.lee18@example.com,New York,NY,2024-07-17
19,Liam,Lee,liam.lee19@example.com,Tucson,AZ,2023-07-19
20,Avery,Wilson,avery.wilson20@example.com,Denver,CO,2023-03-17
21,Ethan,Thompson,ethan.thompson21@example.com,Miami,FL,2024-02-04
22,Aaron,Young,aaron.young22@example.com,Atlanta,GA,2023-02-14
23,Liam,Garcia,liam.garcia23@example.com,New York,NY,2024-12-15
24,Mason,Thompson,mason.thompson24@example.com,San Diego,CA,2023-06-13
25,Camila,Thomas,camila.thomas25@example.com,San Diego,CA,2025-02-17
26,Mia,Davis,mia.davis26@example.com,Portland,OR,2024-06-16
27,Avery,White,avery.white27@example.com,Denver,CO,2024-12-21
28,Logan,Rodriguez,logan.rodriguez28@example.com,New York,NY,2023-08-05
29,Logan,Smith,logan.smith29@example.com,Las Cruces,NM,2024-01-03
30,Daniel,Young,daniel.young30@example.com,Seattle,WA,2023-07-06
31,Elijah,Davis,elijah.davis31@example.com,Dallas,TX,2025-03-17
32,Grace,Martin,grace.martin32@example.com,Phoenix,AZ,2023-08-19
33,Emma,Johnson,emma.johnson33@example.com,Atlanta,GA,2024-10-20
34,Logan,Martin,logan.martin34@example.com,Las Cruces,NM,2024-03-26
35,Ava,Thompson,ava.thompson35@example.com,El Paso,TX,2024-06-23
36,Aaron,Garcia,aaron.garcia36@example.com,Los Angeles,CA,2023-05-05
37,Ethan,Lopez,ethan.lopez37@example.com,San Diego,CA,2024-08-01
38,Logan,Hall,logan.hall38@example.com,El Paso,TX,2024-04-26
39,Amelia,Wilson,amelia.wilson39@example.com,Las Cruces,NM,2023-01-06
40,Ava,Gonzalez,ava.gonzalez40@example.com,Denver,CO,2024-05-23
41,James,Martin,james.martin41@example.com,New York,NY,2023-08-17
42,Grace,Davis,grace.davis42@example.com,Los Angeles,CA,2025-03-28
43,Leroy,Anderson,leroy.anderson43@example.com,Dallas,TX,2025-01-26
44,Sofia,Hernandez,sofia.hernandez44@example.com,Atlanta,GA,2024-12-01
45,Olivia,Hernandez,olivia.hernandez45@example.com,Atlanta,GA,2024-08-25
